"","county","agegp","edugp","ideal","intend","npop"
"16919",511322,"35-49","secondary",2.07077344334194,1.75803464005695,33967.1253895075
"16920",511322,"35-49","hs and above",2.02438342382184,1.57788260819331,7754.65862974846
"16921",511323,"15-24","primary and below",1.9300719428446,2.1628542255644,23349.177563244
"16922",511323,"15-24","secondary",1.81861711772675,1.88787825789303,15593.9824104728
"16923",511323,"15-24","hs and above",1.78120106400174,1.7048614232676,4253.8400262832
"16924",511323,"25-34","primary and below",2.06453349726239,2.28607828089019,15299.6381907915
"16925",511323,"25-34","secondary",1.91400112353684,1.9861392784173,10218.0168096959
"16926",511323,"25-34","hs and above",1.87332452086581,1.84504995957219,2787.34499951261
"16927",511323,"35-49","primary and below",2.09131478952174,2.0472164164456,40510.9338804186
"16928",511323,"35-49","secondary",1.95723598798136,1.82832807350599,27055.6334865317
"16929",511323,"35-49","hs and above",1.94371140751837,1.65589874119007,7380.43263304968
"16930",511324,"15-24","primary and below",1.95510975619195,2.12186565616996,46443.1533759823
"16931",511324,"15-24","secondary",1.8391182684274,1.88680293276961,25504.2334764866
"16932",511324,"15-24","hs and above",1.81899451454204,1.69578604456419,7556.61314753105
"16933",511324,"25-34","primary and below",2.05836074568222,2.23827006944703,28491.2950242351
"16934",511324,"25-34","secondary",1.95296120535138,2.01821479276124,15645.9798167222
"16935",511324,"25-34","hs and above",1.90729243250334,1.87242097456598,4635.72515904271
"16936",511324,"35-49","primary and below",2.10781256611806,2.08062407905279,63377.987049379
"16937",511324,"35-49","secondary",1.97357706120646,1.87156372402481,34803.9885640715
"16938",511324,"35-49","hs and above",1.94265922283167,1.74454036814713,10312.0243865495
"16939",511325,"15-24","primary and below",2.0281801831288,1.96852308098868,18158.6021139091
"16940",511325,"15-24","secondary",1.93623211315591,1.76919500524953,14603.770160135
"16941",511325,"15-24","hs and above",1.90262679273839,1.5499311524383,4479.62772595587
"16942",511325,"25-34","primary and below",2.13634168004058,2.06101123749952,14098.9780013371
"16943",511325,"25-34","secondary",2.03782576820318,1.89347956190918,11338.8813154627
"16944",511325,"25-34","hs and above",1.98736519006393,1.72315745213603,3478.14068320015
"16945",511325,"35-49","primary and below",2.16857227102984,1.96663080169756,32138.1220432333
